timestamp,source,query,file,status,notes
2025-11-11T19:56:38.981900+00:00,pubmed,maternal nutrition during pregnancy,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,success,5 articles retrieved.
2025-11-11T19:56:43.292026+00:00,crossref,maternal nutrition during pregnancy,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\crossref_maternal_nutrition_during_pregnancy_1762891003.json,success,5 articles retrieved.
2025-11-11T19:56:51.281920+00:00,semantic_scholar,maternal nutrition during pregnancy,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\semantic_scholar_maternal_nutrition_during_pregnancy_1762891011.json,success,"search_returned:5, details_returned:0"
2025-11-11T19:56:55.240361+00:00,sciencedirect,maternal nutrition during pregnancy,,error,401 Client Error: Unauthorized for url: https://api.elsevier.com/content/search/sciencedirect?query=maternal+nutrition+during+pregnancy&count=5
2025-11-11T19:56:57.420302+00:00,google_books,maternal nutrition during pregnancy,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\google_books_maternal_nutrition_during_pregnancy_1762891017.json,success,5 items retrieved.
2025-11-11T19:57:00.313435+00:00,openlibrary,maternal nutrition during pregnancy,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\openlibrary_maternal_nutrition_during_pregnancy_1762891020.json,success,5 docs retrieved.
2025-11-11T19:57:13.324045+00:00,pubmed,fertility and menstrual cycle prediction,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,success,5 articles retrieved.
2025-11-11T19:57:16.084943+00:00,crossref,fertility and menstrual cycle prediction,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,success,5 articles retrieved.
2025-11-11T19:57:23.316876+00:00,semantic_scholar,fertility and menstrual cycle prediction,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\semantic_scholar_fertility_and_menstrual_cycle_prediction_1762891043.json,success,"search_returned:5, details_returned:0"
2025-11-11T19:57:26.109909+00:00,sciencedirect,fertility and menstrual cycle prediction,,error,401 Client Error: Unauthorized for url: https://api.elsevier.com/content/search/sciencedirect?query=fertility+and+menstrual+cycle+prediction&count=5
2025-11-11T19:57:28.099619+00:00,google_books,fertility and menstrual cycle prediction,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\google_books_fertility_and_menstrual_cycle_prediction_1762891048.json,success,5 items retrieved.
2025-11-11T19:57:30.182998+00:00,openlibrary,fertility and menstrual cycle prediction,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\openlibrary_fertility_and_menstrual_cycle_prediction_1762891050.json,success,0 docs retrieved.
2025-11-11T19:57:37.020112+00:00,pubmed,gestational diabetes prevention,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\pubmed_gestational_diabetes_prevention_1762891057.xml,success,5 articles retrieved.
2025-11-11T19:57:39.623290+00:00,crossref,gestational diabetes prevention,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\crossref_gestational_diabetes_prevention_1762891059.json,success,5 articles retrieved.
2025-11-11T19:58:09.294413+00:00,semantic_scholar,gestational diabetes prevention,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\semantic_scholar_gestational_diabetes_prevention_1762891089.json,success,"search_returned:5, details_returned:0"
2025-11-11T19:58:11.954100+00:00,sciencedirect,gestational diabetes prevention,,error,401 Client Error: Unauthorized for url: https://api.elsevier.com/content/search/sciencedirect?query=gestational+diabetes+prevention&count=5
2025-11-11T19:58:14.099656+00:00,google_books,gestational diabetes prevention,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\google_books_gestational_diabetes_prevention_1762891094.json,success,5 items retrieved.
2025-11-11T19:58:16.246576+00:00,openlibrary,gestational diabetes prevention,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\openlibrary_gestational_diabetes_prevention_1762891096.json,success,5 docs retrieved.
2025-11-11T19:58:26.872980+00:00,pubmed,prenatal exercise and fetal health,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,success,5 articles retrieved.
2025-11-11T19:58:29.932440+00:00,crossref,prenatal exercise and fetal health,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\crossref_prenatal_exercise_and_fetal_health_1762891109.json,success,5 articles retrieved.
2025-11-11T19:58:37.531426+00:00,semantic_scholar,prenatal exercise and fetal health,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\semantic_scholar_prenatal_exercise_and_fetal_health_1762891117.json,success,"search_returned:5, details_returned:0"
2025-11-11T19:58:40.497363+00:00,sciencedirect,prenatal exercise and fetal health,,error,401 Client Error: Unauthorized for url: https://api.elsevier.com/content/search/sciencedirect?query=prenatal+exercise+and+fetal+health&count=5
2025-11-11T19:58:43.510919+00:00,google_books,prenatal exercise and fetal health,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\google_books_prenatal_exercise_and_fetal_health_1762891123.json,success,5 items retrieved.
2025-11-11T19:58:46.571476+00:00,openlibrary,prenatal exercise and fetal health,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\openlibrary_prenatal_exercise_and_fetal_health_1762891126.json,success,0 docs retrieved.
2025-11-11T19:58:52.844478+00:00,pubmed,postpartum depression management,C:\Users\chris\Documents\SEMESTER 5\IPPL\training\data\raw\pubmed_postpartum_depression_management_1762891132.xml,success,5 articles retrieved.
2025-11-11T19:59:24.406232+00:00,crossref,postpartum depression management,,error,"HTTPSConnectionPool(host='api.crossref.org', port=443): Read timed out. (read timeout=30)"
2025-11-11T19:59:25.408999+00:00,semantic_scholar,postpartum depression management,,error,"HTTPSConnectionPool(host='api.semanticscholar.org', port=443): Max retries exceeded with url: /graph/v1/paper/search?query=postpartum+depression+management&limit=5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B26C91BC50>: Failed to resolve 'api.semanticscholar.org' ([Errno 11001] getaddrinfo failed)""))"
2025-11-11T19:59:26.411742+00:00,sciencedirect,postpartum depression management,,error,"HTTPSConnectionPool(host='api.elsevier.com', port=443): Max retries exceeded with url: /content/search/sciencedirect?query=postpartum+depression+management&count=5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B26C91B250>: Failed to resolve 'api.elsevier.com' ([Errno 11001] getaddrinfo failed)""))"
2025-11-11T19:59:27.414640+00:00,google_books,postpartum depression management,,error,"HTTPSConnectionPool(host='www.googleapis.com', port=443): Max retries exceeded with url: /books/v1/volumes?q=postpartum+depression+management&maxResults=5&key=AIzaSyB57bbMzfP9WezW1UPuaJpVc6Rr66S9cjE (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B26C91B390>: Failed to resolve 'www.googleapis.com' ([Errno 11001] getaddrinfo failed)""))"
