id,title,source,category,raw_file,processed_file
10.1017/cbo9780511527036.006,Control of the menstrual cycle and fertility,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.1017_cbo9780511527036.006.json
10.1159/000388895,Exfoliative Cytology in Normal Menstrual Cycle and Fertility Disturbances,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.1159_000388895.json
10.3109/0167482x.2015.1026892,"Adverse childhood event experiences, fertility difficulties and menstrual cycle characteristics",crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.3109_0167482x.2015.1026892.json
10.34293/icetcs2024.ch003,Comparative Analysis of Menstrual Cycle Prediction Algorithms in Mobile Menstrual Tracker Apps,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.34293_icetcs2024.ch003.json
10.1016/j.evolhumbehav.2016.03.003,Other women’s fertility moderates female resource distribution across the menstrual cycle,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.1016_j.evolhumbehav.2016.03.003.json
10.31525/ct1-nct04028089,Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.31525_ct1-nct04028089.json
10.2337/dc09-2336,Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.2337_dc09-2336.json
10.23946/2500-0764-2023-8-3-116-123,Prevention of gestational diabetes mellitus,crossref,nutrition,crossref_gestational_diabetes_prevention_1762891059.json,10.23946_2500-0764-2023-8-3-116-123.json
10.4172/2155-6156.1000286,The Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.4172_2155-6156.1000286.json
10.2337/diaspect.19.3.135,Gestational Diabetes Education and Diabetes Prevention Strategies,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.2337_diaspect.19.3.135.json
10.4159/harvard.9780674592827.c10,MATERNAL NUTRITION DURING PREGNANCY,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.4159_harvard.9780674592827.c10.json
10.5005/jp/books/10513_6,Maternal Nutrition during Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.5005_jp_books_10513_6.json
10.1001/archpedi.1982.03970370086032,Maternal Nutrition During Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.1001_archpedi.1982.03970370086032.json
10.1159/000113172,Maternal Nutrition Before and During Pregnancy,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.1159_000113172.json
10.3109/01443615.2010.505146,Maternal-Fetal Nutrition during Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.3109_01443615.2010.505146.json
10.1096/fasebj.29.1_supplement.1055.28,Influence of Prenatal Exercise on Fetal/Infant Health,crossref,psychology,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1096_fasebj.29.1_supplement.1055.28.json
10.1007/978-1-4614-3408-5,Physiology of Prenatal Exercise and Fetal Development,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1007_978-1-4614-3408-5.json
10.1007/s10995-020-03000-7,Influence of Prenatal Aerobic Exercise on Fetal Morphometry,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1007_s10995-020-03000-7.json
10.1111/febs.16173,Prenatal exercise in fetal development: a placental perspective,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1111_febs.16173.json
10.1519/1533-4287(1989)003<0093:srmafr>2.3.co;2,Short Review: Maternal and Fetal Responses to Prenatal Exercise,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1519_1533-4287(1989)003_0093_srmafr_2.3.co_2.json
41157380,Accuracy of an Overnight Axillary-Temperature Sensor for Ovulation Detection: Validation in 194 Cycles.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,41157380.json
41139058,Retrospective evaluation of the use of non-human primates for fertility assessment of pharmaceuticals submitted for marketing approval in the EU.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,41139058.json
41085255,Effectiveness of menstruation and fertility tracking technology in childbearing women: a scoping review.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,41085255.json
40935278,Evaluating the feasibility of hyperspectral endometrial analysis as a less invasive technique for endometrial evaluation: a pilot study.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,40935278.json
40763349,Digitally Enabled AI-Interpreted Salivary Ferning-Based Ovulation Prediction: Feasibility Study.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,40763349.json
41214136,Proteomic changes induced by acute exercise and high-intensity interval training during pregnancy: a pilot randomised controlled trial.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41214136.json
41213838,Prevalence of Large-for-Gestational Age and Macrosomia Among Livebirths in 23 Low- and Middle-Income Countries Between 2000 and 2021: An Individual Participant Data Analysis.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41213838.json
41213790,Effect of low-dose aspirin in women with pregestational diabetes mellitus: A propensity score matching study.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41213790.json
41213472,Causal relationship between multiple modifiable risk factors and gestational diabetes mellitus: a two-sample Mendelian randomization study.,pubmed,nutrition,pubmed_gestational_diabetes_prevention_1762891057.xml,41213472.json
41208570,Five years liraglutide treatment improves glucose tolerance in women with previous gestational diabetes mellitus-Results from a randomised controlled trial.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41208570.json
41217026,"The early implementation phase of the Omega-3 Test-and-Treat Program for reducing the risk of preterm birth, South Australia, 2021-22: an implementation evaluation study.",pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41217026.json
41216435,The influence of early nutrition intake and clinical factors on the brain development of preterm infants with intrauterine growth restriction.,pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41216435.json
41216352,Association between high-dose calcium supplementation during pregnancy and risk of placental disorders and low birth weight in Iranian women.,pubmed,prenatal,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41216352.json
41213787,Updating the impact of mRNA COVID-19 vaccine exposure during pregnancy on obstetric and neonatal outcomes.,pubmed,psychology,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41213787.json
41211022,"The effect of midwifery-led continuum of care to improve maternal and newborn outcomes in the Sidama region, Ethiopia: A non-randomized control trial study.",pubmed,postnatal,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41211022.json
41200219,Effectiveness of family support-based companion video sharing to improve depression in perinatal maternity: a randomized controlled trial study protocol.,pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41200219.json
